DATE,MOTOR COIL,FRONT IN,REAR_IN,FRONT OUT,REAR OUT,MACHINE TEMP,VIBRATION,VIB-X,VIB-Y,VIB-Z,SPINDLE LOAD,SPINDLE COMMAND SPEED,SPINDLE ACTUAL SPEED,SPINDLE DIRECTION,FEED SPEED,FEED OVERRIDE,FEED ACTUAL SPEED,DI_CUT,JOG OVERRIDE,RAPID OVERRIDE,FEED AXIS STATUS,RELATIVE1,RELATIVE2,RELATIVE3,RELATIVE4,RELATIVE5,RELATIVE6,RELATIVE7,RELATIVE8,ABSOLUTE1,ABSOLUTE2,ABSOLUTE3,ABSOLUTE4,ABSOLUTE5,ABSOLUTE6,ABSOLUTE7,ABSOLUTE8,MACHINE1,MACHINE2,MACHINE3,MACHINE4,MACHINE5,MACHINE6,MACHINE7,MACHINE8,DISTANCE1,DISTANCE2,DISTANCE3,DISTANCE4,DISTANCE5,DISTANCE6,DISTANCE7,DISTANCE8,LOAD1,LOAD2,LOAD3,LOAD4,LOAD5,LOAD6,LOAD7,LOAD8,NC MODE,NC STATUS,SPINDLE POT,SPINDLE PTN,MAIN PROGRAM,EXEC PROGRAM,SEQ NUMBER,MAIN COMMENT,MACHINE ALARM,MACHINE WARNING,EXEC BLOCK,BLOCK COUNTER,SPINDLE FTN,SPINDLE ITN,EMERGENCY,ADDITIONAL INCYCLE STATUS,CUTTING REMOVAL AMOUNT,SPINDLE OVERRIDE,MSPINDLE LOAD
"2019/08/01 06:34:10:536","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","10","11","22","-11","-10","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:13:536","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","17","9","10","22","-12","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:16:545","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","9","10","22","-12","-10","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:19:546","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","9","10","22","-11","-10","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:22:537","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","9","11","22","-11","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:25:536","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","21","17","9","11","22","-12","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:28:545","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","10","11","22","-12","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:31:529","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","10","11","22","-12","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:34:537","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","17","10","11","22","-12","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:37:545","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","21","17","9","11","22","-12","-10","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:40:545","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","10","11","22","-12","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:43:546","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","17","10","11","22","-12","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:46:537","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","17","10","11","22","-12","-10","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:49:545","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","17","9","10","22","-11","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:52:545","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","10","11","22","-12","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:55:546","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","9","11","22","-12","-10","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:34:58:537","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","17","9","10","22","-12","-10","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:35:01:545","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","21","16","10","11","22","-11","-10","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:35:04:538","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","9","10","22","-11","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:35:07:553","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","9","11","22","-11","-10","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:35:10:537","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","9","10","22","-11","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:35:13:545","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","17","10","10","22","-12","-10","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:35:16:553","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","10","10","22","-11","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:35:19:553","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","10","10","22","-11","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:35:22:538","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","10","11","22","-11","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:35:25:545","21.6","","","21.3","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","9","10","22","-12","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:35:28:554","21.6","","","21.2","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","10","10","22","-12","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:35:31:554","21.6","","","21.2","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","9","10","22","-12","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:35:34:561","21.6","","","21.2","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","10","11","22","-12","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
"2019/08/01 06:35:37:546","21.6","","","21.2","21.2","","","0.0","0.0","0.0","0.00","4000","0","STOP","39","100","0.00","0","50.00","100","00000000","3.97441","-40.69791","-0.00002","10080.0004","0.0000","-40.70165","-0.00003","0.0000","80.96843","25.65157","38.87097","0.0000","0.0000","-40.70165","0.00000","0.0000","3.97427","-40.70165","0.00000","0.0000","0.0000","-40.70165","0.00000","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","22","16","10","10","22","-12","-11","MEMORY","STOP","3","2013","4012","4005","9002","68A314071 2011 -2012 OP4","0","161005","N9003 G43.4 H1 ","100","2013","0","0","-1","","0",""
